x,y,token
-24.866295,-41.37496,_you_
-28.83335,9.72533,horrible
-42.209064,-23.891361,idea
-5.68776,-42.68424,Oh
-26.084383,-30.17682,meant
-19.734198,-27.575891,myself
-20.352581,-30.788445,loves
-25.499723,-33.70893,joke
14.696372,-6.8997917,another
-31.857862,7.372882,fact
-48.256134,-25.843641,faults
-28.456533,-29.608059,told
-45.905903,-30.765285,agreeable
-28.801643,-29.021095,knew
-27.496029,-40.05125,suspect
-17.704145,-37.734783,knows
-26.594318,-39.770496,flatter
-54.088074,-17.65594,reflection
-37.1889,19.297539,has
16.534348,-4.481665,persons
-38.3792,-27.509356,chances
-37.7271,-33.25338,willing
38.16058,-33.996986,let
47.069122,-4.651556,pass
-44.10774,28.959846,"--"""
28.791636,-25.888039,hear
-43.641647,-36.146294,behaved
-12.776527,-29.396492,charmingly
14.70028,-6.9827275,Every
-21.413822,-9.964543,punctual
-37.428665,7.9139905,looks
19.19981,26.940123,tear
-18.091396,45.90622,face
-41.342297,14.593775,seen
53.355576,-6.86107,apart
-6.2658334,-43.11601,Dear
4.331705,40.455814,bears
-25.592537,-45.15997,sorry
-34.129642,-35.935936,lose
-13.369283,-44.311493,miss
-17.689194,-37.604443,thinks
-29.5895,31.89362,turned
45.514492,2.1775472,divided
19.462797,-7.432384,tears
-38.87329,7.9473085,smiles
-21.511616,-48.04173,should
26.007437,-19.651157,acceptable
-56.272137,-24.993279,important
-41.004322,-36.554386,secure
25.02783,7.616416,provision
37.67392,-22.102404,therefore
-37.873993,-35.36717,allow
10.089421,-12.85945,pain
-50.08927,-6.2909656,happily
-28.224506,-26.413399,forgotten
-11.68514,-40.81746,matter
-41.78121,0.80802226,considerable
53.631477,23.42292,four
-39.40276,-29.659542,proved
-27.194998,-42.32298,marry
-25.241566,39.69657,shook
-35.959553,1.8171425,fondly
-44.26274,27.023842,replied
-19.764757,-27.504154,matches
-25.90179,-20.64601,foretell
-33.19418,-18.016092,whatever
-6.3128347,-44.050686,Pray
4.3226967,-44.650333,none
-37.44402,-23.132406,greatest
-49.369354,-18.445257,amusement
-47.95538,-19.281757,success
-34.426407,-1.1320486,widower
-47.616753,-31.755457,perfectly
-46.30354,-10.71375,constantly
-42.684574,1.6862173,occupied
-33.015995,-17.762024,either
-38.796764,-42.268764,friends
-16.602087,-25.417002,wherever
-20.395485,-43.11834,need
-53.375,-6.099935,spend
-8.854077,-13.831336,single
68.79701,1.7200998,year
14.779467,-32.981335,alone
11.948723,0.40838695,Some
-33.94408,-16.473007,others
63.93905,-13.373514,son
-59.65273,-2.578561,uncle
-29.541868,34.640987,letting
16.978748,9.501275,solemn
-13.404491,-39.147568,nonsense
-55.364162,-22.349247,subject
-30.18276,-28.454792,believed
16.300642,27.576294,Ever
-51.800858,-6.0955815,since
-49.892654,1.5498278,met
8.203632,29.641365,Broadway
-26.031641,34.572765,Lane
-44.067413,25.979715,began
-10.596571,51.931015,darted
-49.26124,-20.347353,gallantry
-6.2492304,-3.1497889,borrowed
-44.383938,35.011375,Farmer
-17.62629,-15.729889,planned
32.52417,-17.593428,blessed
-56.736572,-23.147661,instance
-28.503572,-38.27542,leave
-8.811243,-22.072592,making
-22.08603,-41.795303,understand
-7.540175,-33.015125,",'"""
-10.634203,6.904575,supposes
-51.478127,-25.636322,endeavour
27.007776,-42.511013,Your
-41.51943,-31.475634,properly
-18.797335,-16.882784,delicately
-40.315887,-33.344975,endeavouring
26.515635,-30.323856,bring
6.057203,-46.472702,worthy
-44.334312,-17.844328,employment
15.683428,9.502071,young
-52.10005,15.794678,lady
-27.421465,-40.177914,imagine
-35.28257,-15.71659,planning
47.260025,-23.800266,saying
-19.350088,-43.84548,yourself
-22.187943,-29.54542,idle
-43.699867,31.600304,",'"
-16.309612,-45.981255,why
-21.140825,-40.72963,talk
38.753628,-36.4697,Where
-47.568813,-24.605793,merit
21.302326,-18.519882,proud
-18.776127,-41.507236,guess
-22.415329,-36.480972,_that_
-19.618593,-46.26966,can
-29.404337,-26.81289,known
5.716742,-16.366558,triumph
-21.052433,-31.651623,cleverer
-30.219473,-35.989876,depend
-23.835966,-3.113741,merely
-15.727491,-33.804012,luck
-24.329819,30.280397,There
-33.376846,-15.089805,talent
40.71798,-17.092236,word
-24.810219,-39.87221,quarrel
-46.42073,-26.641712,claim
-8.083239,37.039326,drawn
-22.936403,1.6951014,pictures
-22.301483,-39.16402,something
-23.164011,-28.835838,nothing
23.402939,-32.77836,If
-51.509914,-14.749331,visits
40.07637,-8.96126,given
-13.560706,26.694609,smoothed
-38.69378,-27.273336,matters
-25.065372,-31.592768,enough
-47.720108,-26.006834,comprehend
-17.369513,39.667984,open
-46.99527,-36.115932,hearted
-46.2459,-33.47275,unaffected
-23.133528,-24.866455,safely
-20.225592,-41.068954,manage
-43.942963,-30.570807,likely
-20.876453,-43.33363,harm
-37.28152,-33.83416,interference
-11.147195,-34.140118,rejoined
25.191547,-17.522243,understanding
38.32842,-30.591627,pray
-44.6686,-33.506344,silly
34.198654,5.6502166,break
-21.821423,12.166817,circle
29.962446,-0.7564663,grievously
23.392927,-31.646372,Only
-63.27008,-3.3201706,Elton
-35.105965,21.59168,",--"
-43.26671,23.983185,look
-27.33625,17.855516,whole
-36.69362,-7.429333,fitted
-50.141212,-2.5384438,comfortably
26.678602,-12.87241,shame
-40.979565,-39.923183,longer
-9.595987,35.149757,joining
33.877098,23.822958,hands
-33.671505,16.320055,same
42.25496,14.8767605,service
28.162436,-23.313272,shew
-51.099022,-18.164415,attention
-23.602959,-42.51564,ask
-21.501389,-42.767963,dare
13.5653,18.702976,With
-42.54841,29.5413,laughing
-23.429468,30.807138,fish
-9.454379,-23.2787,chicken
-28.946955,-38.78215,chuse
-30.046595,-35.92768,Depend
53.80841,22.91074,six
-30.559599,-31.405437,care
-5.2943745,-56.684544,II
1.9642068,17.16233,native
51.235268,-10.520309,born
-44.239315,-23.922256,respectable
55.66889,-2.3294911,generations
10.166319,27.124788,rising
-40.122448,-22.192616,gentility
-41.50404,-18.575993,property
-34.880455,-24.856684,received
-47.016453,-21.303331,education
-35.91384,-14.09566,succeeding
-18.159994,21.293306,small
20.740917,-23.056915,become
-35.59657,-26.362602,indisposed
-3.6255445,-4.3463397,homely
-36.39963,-11.059513,pursuits
-59.967216,3.0220084,brothers
-54.17013,-3.9481099,engaged
-41.840454,-34.116795,satisfied
-42.57358,-14.194775,active
-38.06023,-8.261276,social
48.203365,5.8077283,entering
-17.505505,16.053648,militia
-17.212011,18.495825,county
-3.3132594,12.895932,embodied
-60.168606,-0.15832244,Captain
-40.82248,-19.967096,general
-52.733185,-13.660043,favourite
-25.492754,25.271719,military
-52.514603,-7.7311788,introduced
-62.862625,-3.6121166,Churchill
-15.588605,-19.072329,Yorkshire
49.48897,-0.61522675,fell
25.607052,-18.675182,love
-26.962992,-40.01864,surprized
-21.161512,-28.164047,except
19.725298,-0.1224906,full
25.469799,-13.945589,pride
-45.20821,-23.027945,importance
-47.25169,-23.159618,connexion
26.005056,-24.3379,offend
28.126696,-22.617702,command
-17.176987,20.514217,bore
-42.424496,-21.352812,proportion
-42.504192,-17.800045,estate
46.946457,-7.1800246,took
10.900225,-17.265757,infinite
-51.92709,-16.760958,mortification
-26.665419,47.103466,threw
-34.922676,-22.290085,due
-32.7945,-11.583643,decorum
-30.443573,-14.975401,unsuitable
-42.936188,-19.015097,produce
-30.051685,-38.495644,ought
21.868916,-5.431579,whose
-34.4699,6.1793594,warm
